 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=1.98577 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=2.76353 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=2.57708 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=2.37066 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=2.17518 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=8.35957e-20 	 #it= 6 	 CPUsec=1.73769 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=8.75692e-17 	 #it= 6 	 CPUsec=1.88876 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=6.43827e-17 	 #it= 4 	 CPUsec=1.18899 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=6.43827e-17 	 #it= 4 	 CPUsec=0.86632 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=6.43827e-17 	 #it= 4 	 CPUsec=0.816791 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=6.43827e-17 	 #it= 4 	 CPUsec=0.824758 
 SSTREAM(uvh/supg) 	 time=        5.20000 	 dt=0.2 	 r=6.43827e-17 	 #it= 4 	 CPUsec=0.837115 
 SSTREAM(uvh/supg) 	 time=        5.40000 	 dt=0.2 	 r=2.2209e-18 	 #it= 4 	 CPUsec=1.14691 
 SSTREAM(uvh/supg) 	 time=        5.40000 	 dt=0.2 	 r=2.75526e-21 	 #it= 4 	 CPUsec=0.862038 
 SSTREAM(uvh/supg) 	 time=        5.60000 	 dt=0.2 	 r=7.7298e-19 	 #it= 5 	 CPUsec=1.27173 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=6.5818e-18 	 #it= 5 	 CPUsec=1.57727 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.3086e-17 	 #it= 3 	 CPUsec=0.641898 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30644e-17 	 #it= 3 	 CPUsec=0.665282 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.613163 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.614086 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.619406 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.621672 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.667984 
 SSTREAM(uvh/supg) 	 time=        5.80000 	 dt=0.2 	 r=8.30646e-17 	 #it= 3 	 CPUsec=0.65851 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=7.38861e-17 	 #it= 4 	 CPUsec=0.867515 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04463e-17 	 #it= 3 	 CPUsec=0.657574 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04459e-17 	 #it= 3 	 CPUsec=0.613862 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04459e-17 	 #it= 3 	 CPUsec=0.620014 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04459e-17 	 #it= 3 	 CPUsec=0.673499 
 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04459e-17 	 #it= 3 	 CPUsec=0.864268 
