 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.67142e-34 	 #it= 11 	 CPUsec=0.784615 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.52136e-34 	 #it= 8 	 CPUsec=0.57825 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.43905e-33 	 #it= 1 	 CPUsec=0.061801 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29808e-32 	 #it= 1 	 CPUsec=0.0680958 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.75648e-33 	 #it= 1 	 CPUsec=0.0850116 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.2481e-33 	 #it= 1 	 CPUsec=0.067036 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=8.20373e-33 	 #it= 1 	 CPUsec=0.057385 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.90743e-33 	 #it= 1 	 CPUsec=0.0609996 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.46171e-33 	 #it= 1 	 CPUsec=0.0612669 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.23571e-33 	 #it= 1 	 CPUsec=0.0610214 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.91814e-33 	 #it= 1 	 CPUsec=0.0623602 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.87596e-33 	 #it= 1 	 CPUsec=0.0865797 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=4.64563e-33 	 #it= 1 	 CPUsec=0.0601084 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.58523e-33 	 #it= 1 	 CPUsec=0.056023 
