 SSTREAM(uvh/supg) 	 time=       38.00000 	 dt=1 	 r=6.64007e-16 	 #it= 7 	 CPUsec=5.83851 
 SSTREAM(uvh/supg) 	 time=       39.00000 	 dt=1 	 r=1.02898e-18 	 #it= 7 	 CPUsec=5.65515 
 SSTREAM(uvh/supg) 	 time=       40.00000 	 dt=1 	 r=8.51983e-17 	 #it= 8 	 CPUsec=6.70981 
 SSTREAM(uvh/supg) 	 time=       41.00000 	 dt=1 	 r=3.20707e-17 	 #it= 9 	 CPUsec=7.25998 
 SSTREAM(uvh/supg) 	 time=       42.00000 	 dt=1 	 r=2.68786e-18 	 #it= 9 	 CPUsec=7.13142 
 SSTREAM(uvh/supg) 	 time=       43.00000 	 dt=1 	 r=2.66189e-16 	 #it= 8 	 CPUsec=6.55642 
 SSTREAM(uvh/supg) 	 time=       44.00000 	 dt=1 	 r=4.43367e-16 	 #it= 6 	 CPUsec=5.2884 
 SSTREAM(uvh/supg) 	 time=       45.00000 	 dt=1 	 r=1.25433e-16 	 #it= 6 	 CPUsec=5.15477 
 SSTREAM(uvh/supg) 	 time=       46.00000 	 dt=1 	 r=2.72482e-18 	 #it= 7 	 CPUsec=6.24747 
 SSTREAM(uvh/supg) 	 time=       47.00000 	 dt=1 	 r=9.21436e-16 	 #it= 9 	 CPUsec=7.28361 
 SSTREAM(uvh/supg) 	 time=       48.00000 	 dt=1 	 r=4.55925e-16 	 #it= 6 	 CPUsec=5.34814 
 SSTREAM(uvh/supg) 	 time=       49.00000 	 dt=1 	 r=4.82272e-18 	 #it= 7 	 CPUsec=5.78127 
 SSTREAM(uvh/supg) 	 time=       50.00000 	 dt=1 	 r=2.37161e-16 	 #it= 7 	 CPUsec=5.84078 
 SSTREAM(uvh/supg) 	 time=       51.00000 	 dt=1 	 r=5.72903e-17 	 #it= 9 	 CPUsec=7.34495 
 SSTREAM(uvh/supg) 	 time=       52.00000 	 dt=1 	 r=8.32556e-19 	 #it= 7 	 CPUsec=5.82669 
 SSTREAM(uvh/supg) 	 time=       53.00000 	 dt=1 	 r=5.634e-16 	 #it= 6 	 CPUsec=5.15363 
 SSTREAM(uvh/supg) 	 time=       54.00000 	 dt=1 	 r=1.41866e-18 	 #it= 7 	 CPUsec=5.76522 
 SSTREAM(uvh/supg) 	 time=       55.00000 	 dt=1 	 r=2.2698e-17 	 #it= 8 	 CPUsec=6.83194 
 SSTREAM(uvh/supg) 	 time=       56.00000 	 dt=1 	 r=8.99825e-17 	 #it= 9 	 CPUsec=7.43211 
 SSTREAM(uvh/supg) 	 time=       57.00000 	 dt=1 	 r=9.11972e-19 	 #it= 7 	 CPUsec=6.22261 
 SSTREAM(uvh/supg) 	 time=       58.00000 	 dt=1 	 r=3.37704e-17 	 #it= 8 	 CPUsec=6.86037 
 SSTREAM(uvh/supg) 	 time=       59.00000 	 dt=1 	 r=5.7089e-17 	 #it= 9 	 CPUsec=7.37253 
 SSTREAM(uvh/supg) 	 time=       60.00000 	 dt=1 	 r=1.21776e-17 	 #it= 9 	 CPUsec=6.82713 
 SSTREAM(uvh/supg) 	 time=       61.00000 	 dt=1 	 r=1.77162e-18 	 #it= 9 	 CPUsec=7.25962 
 SSTREAM(uvh/supg) 	 time=       62.00000 	 dt=1 	 r=1.18199e-18 	 #it= 8 	 CPUsec=6.41154 
 SSTREAM(uvh/supg) 	 time=       63.00000 	 dt=1 	 r=6.83755e-18 	 #it= 8 	 CPUsec=6.71096 
 SSTREAM(uvh/supg) 	 time=       64.00000 	 dt=1 	 r=1.68289e-17 	 #it= 8 	 CPUsec=6.62677 
 SSTREAM(uvh/supg) 	 time=       65.00000 	 dt=1 	 r=8.78432e-18 	 #it= 10 	 CPUsec=8.1439 
 SSTREAM(uvh/supg) 	 time=       66.00000 	 dt=1 	 r=1.11028e-16 	 #it= 9 	 CPUsec=7.41314 
 SSTREAM(uvh/supg) 	 time=       67.00000 	 dt=1 	 r=1.6108e-17 	 #it= 8 	 CPUsec=6.69547 
 SSTREAM(uvh/supg) 	 time=       68.00000 	 dt=1 	 r=3.6351e-17 	 #it= 8 	 CPUsec=6.49561 
 SSTREAM(uvh/supg) 	 time=       69.00000 	 dt=1 	 r=3.44318e-18 	 #it= 7 	 CPUsec=5.91912 
 SSTREAM(uvh/supg) 	 time=       70.00000 	 dt=1 	 r=5.21815e-16 	 #it= 6 	 CPUsec=4.96762 
 SSTREAM(uvh/supg) 	 time=       71.00000 	 dt=1 	 r=1.08416e-18 	 #it= 7 	 CPUsec=5.91355 
 SSTREAM(uvh/supg) 	 time=       72.00000 	 dt=1 	 r=4.51182e-18 	 #it= 9 	 CPUsec=7.12402 
 SSTREAM(uvh/supg) 	 time=       73.00000 	 dt=1 	 r=6.31693e-18 	 #it= 9 	 CPUsec=7.37098 
 SSTREAM(uvh/supg) 	 time=       74.00000 	 dt=1 	 r=6.43789e-18 	 #it= 8 	 CPUsec=6.50148 
 SSTREAM(uvh/supg) 	 time=       75.00000 	 dt=1 	 r=8.02626e-17 	 #it= 8 	 CPUsec=6.57151 
 SSTREAM(uvh/supg) 	 time=       76.00000 	 dt=1 	 r=5.34669e-16 	 #it= 6 	 CPUsec=5.22373 
 SSTREAM(uvh/supg) 	 time=       77.00000 	 dt=1 	 r=4.86485e-18 	 #it= 8 	 CPUsec=6.48381 
 SSTREAM(uvh/supg) 	 time=       78.00000 	 dt=1 	 r=1.94263e-18 	 #it= 8 	 CPUsec=6.74745 
 SSTREAM(uvh/supg) 	 time=       79.00000 	 dt=1 	 r=3.2123e-18 	 #it= 8 	 CPUsec=6.57517 
 SSTREAM(uvh/supg) 	 time=       80.00000 	 dt=1 	 r=2.41173e-18 	 #it= 8 	 CPUsec=6.49652 
 SSTREAM(uvh/supg) 	 time=       81.00000 	 dt=1 	 r=4.55252e-17 	 #it= 8 	 CPUsec=7.04711 
 SSTREAM(uvh/supg) 	 time=       82.00000 	 dt=1 	 r=7.47164e-16 	 #it= 8 	 CPUsec=6.63539 
 SSTREAM(uvh/supg) 	 time=       83.00000 	 dt=1 	 r=2.73611e-18 	 #it= 7 	 CPUsec=6.09197 
 SSTREAM(uvh/supg) 	 time=       84.00000 	 dt=1 	 r=1.50277e-18 	 #it= 7 	 CPUsec=6.22614 
 SSTREAM(uvh/supg) 	 time=       85.00000 	 dt=1 	 r=7.17108e-17 	 #it= 7 	 CPUsec=5.78539 
 SSTREAM(uvh/supg) 	 time=       86.00000 	 dt=1 	 r=4.98388e-18 	 #it= 7 	 CPUsec=6.07899 
 SSTREAM(uvh/supg) 	 time=       87.00000 	 dt=1 	 r=1.48037e-16 	 #it= 7 	 CPUsec=6.1295 
 SSTREAM(uvh/supg) 	 time=       88.00000 	 dt=1 	 r=2.19688e-18 	 #it= 7 	 CPUsec=5.89727 
 SSTREAM(uvh/supg) 	 time=       89.00000 	 dt=1 	 r=5.1234e-18 	 #it= 8 	 CPUsec=6.47335 
 SSTREAM(uvh/supg) 	 time=       90.00000 	 dt=1 	 r=1.53155e-16 	 #it= 6 	 CPUsec=5.15422 
 SSTREAM(uvh/supg) 	 time=       91.00000 	 dt=1 	 r=2.2065e-17 	 #it= 9 	 CPUsec=7.28613 
 SSTREAM(uvh/supg) 	 time=       92.00000 	 dt=1 	 r=5.24915e-16 	 #it= 7 	 CPUsec=5.91693 
 SSTREAM(uvh/supg) 	 time=       93.00000 	 dt=1 	 r=1.01174e-17 	 #it= 7 	 CPUsec=6.08338 
 SSTREAM(uvh/supg) 	 time=       94.00000 	 dt=1 	 r=4.07944e-18 	 #it= 9 	 CPUsec=7.4966 
 SSTREAM(uvh/supg) 	 time=       95.00000 	 dt=1 	 r=3.19791e-17 	 #it= 8 	 CPUsec=6.76815 
 SSTREAM(uvh/supg) 	 time=       96.00000 	 dt=1 	 r=1.68677e-16 	 #it= 8 	 CPUsec=6.61247 
 SSTREAM(uvh/supg) 	 time=       97.00000 	 dt=1 	 r=6.71089e-16 	 #it= 6 	 CPUsec=5.15506 
 SSTREAM(uvh/supg) 	 time=       98.00000 	 dt=1 	 r=3.54674e-17 	 #it= 7 	 CPUsec=5.92279 
 SSTREAM(uvh/supg) 	 time=       99.00000 	 dt=1 	 r=5.29456e-18 	 #it= 8 	 CPUsec=6.66165 
 SSTREAM(uvh/supg) 	 time=      100.00000 	 dt=1 	 r=2.03853e-16 	 #it= 6 	 CPUsec=5.26987 
 SSTREAM(uvh/supg) 	 time=      101.00000 	 dt=1 	 r=1.48052e-16 	 #it= 8 	 CPUsec=6.50254 
