
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1000.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:13  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1000k000000-Aga1k000000-Ags1000k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.9477 	 I=32.2746 	 R=0.673186  |grad|=0.510561 	 	 gamma=0.364433 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11280     30.8215     30.1315    0.690047    0.330586  0.00677027      1
11281     30.8193     30.1293    0.690068    0.663039    0.153389      0
11282     30.8185     30.1285    0.690066    0.359286  0.00958681      1
11283     30.8182     30.1281    0.690067    0.354161  0.00788975      2
11284      30.818      30.128    0.690068    0.335907  0.00871209      3
11285     30.8176     30.1275    0.690072    0.419283   0.0310594      4
11286     30.8173     30.1272    0.690072    0.333744  0.00593292      5
11287     30.8154     30.1253    0.690091    0.622831    0.134418      0
11288     30.8145     30.1244    0.690089    0.338644  0.00840111      1
11289     30.8142     30.1241    0.690092    0.381322   0.0169677      2
11290     30.8139     30.1238    0.690092    0.335136  0.00843344      3
11291     30.8134     30.1233    0.690098    0.441364   0.0423975      4
11292     30.8129     30.1229    0.690098    0.331086  0.00632305      5
11293     30.8113     30.1212    0.690116    0.667991    0.130472      0
11294     30.8103     30.1202    0.690113    0.334694  0.00815448      1
11295       30.81     30.1198    0.690117    0.405142   0.0206441      2
11296     30.8097     30.1196    0.690117    0.338078   0.0092582      3
11297     30.8094     30.1193     0.69012    0.378899   0.0181426      4
11298     30.8092      30.119     0.69012    0.332846  0.00909921      5
11299     30.8086     30.1184    0.690126    0.462187   0.0445599      6
11300     30.8082      30.118    0.690126    0.335432  0.00603157      7
11301     30.8069     30.1167    0.690141      0.5828   0.0997942      0
11302      30.806     30.1159    0.690139    0.331933  0.00656141      1
11303     30.8048     30.1146    0.690152    0.592439   0.0944786      0
11304      30.804     30.1139    0.690151    0.335139  0.00649728      1
11305     30.8027     30.1125    0.690166    0.596419    0.105968      0
11306     30.8018     30.1116    0.690165    0.331666  0.00662302      1
11307     30.8004     30.1103    0.690179    0.611643    0.102912      0
11308     30.7996     30.1094    0.690178    0.336572  0.00643201      1
11309     30.7985     30.1083    0.690189    0.538681   0.0808808      0
11310     30.7978     30.1076    0.690188    0.329757  0.00703428      1
11311     30.7872     30.0969    0.690314      1.5922     0.90081      0
11312     30.7804     30.0901      0.6903    0.642213  0.00479869      1
11313     30.7789     30.0886    0.690302    0.331123   0.0097272      0
11314     30.7783      30.088    0.690309    0.488362   0.0529062      1
11315     30.7778     30.0875    0.690309    0.332546  0.00658198      2
11316     30.7749     30.0846    0.690343    0.830693    0.233641      0
11317     30.7731     30.0827    0.690339    0.361268  0.00582627      1
