
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7458     32.2227     31.5614    0.661353    0.869258    0.314584      0
 7459     32.2207     31.5593    0.661349    0.416858  0.00491538      1
 7460     32.2201     31.5587     0.66135    0.326062   0.0112782      0
 7461     32.2199     31.5586    0.661352    0.340487   0.0160215      1
 7462     32.2197     31.5583    0.661354    0.331882   0.0123226      2
 7463     32.2194     31.5581    0.661356    0.337827   0.0160161      3
 7464     32.2192     31.5579    0.661357    0.333267   0.0126494      4
 7465      32.219     31.5576    0.661359    0.335829   0.0153694      5
 7466     32.2188     31.5574     0.66136    0.335867   0.0133113      6
 7467     32.2186     31.5572    0.661362    0.332097   0.0140818      7
 7468     32.2183      31.557    0.661364    0.341258   0.0147886      8
 7469     32.2181     31.5568    0.661365    0.326963   0.0123345      9
 7470     32.2179     31.5565    0.661367    0.353025   0.0181545     10
 7471     32.2177     31.5563    0.661369    0.317944  0.00929008     11
 7472     32.2171     31.5557    0.661376    0.450198   0.0539799     12
 7473     32.2167     31.5553    0.661376    0.317796  0.00680619     13
 7474     32.2137     31.5523    0.661419    0.845077    0.295761      0
 7475     32.2118     31.5504    0.661415     0.43036  0.00464014      1
 7476     32.2112     31.5498    0.661417    0.325063   0.0109929      0
 7477      32.211     31.5496    0.661419    0.342219   0.0167165      1
 7478     32.2108     31.5494     0.66142    0.318016  0.00889319      2
 7479     32.2095     31.5481    0.661439    0.596683    0.133912      3
